No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia,Pengkhotbah / Cabang
5,13.00 WIB,,,https://zoom.us/j/94230763577?pwd=MDJEbGR1d2FremthNTJnbm9DQWdwdz09,,"Minggu, 17 Mei 2020",Kelas Kindy,GRII Singapura
3,13.00 WIB,,,https://zoom.us/j/96259161055?pwd=WGhZTFA1WHJPaHlvR3NEaitSQ1Fmdz09,,"Minggu, 17 Mei 2020",Kelas 3 - 4 SD,GRII Singapura
3,13.00 WIB,,,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,"Minggu, 17 Mei 2020",Kelas 1 - 2 SD,GRII Pondok Indah
9,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,"Pdt. Billy Kristanto,
Pdt. Jethro Rachmadi",http://bit.ly/griikelapagadinglive,Zoom : https://bit.ly/TANYAJAWABGRIIKG,"Minggu, 17 Mei 2020",,
3,14.00 WIB,,,https://zoom.us/j/83597908990,,"Minggu, 17 Mei 2020",Kelas 5 - 6 SD,GRII Denpasar
4,14.00 WIB,,,https://zoom.us/j/8950688000,,"Minggu, 17 Mei 2020",Kelas 3 - 4 SD,GRII Denpasar
2,14.00 WIB,,,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,"Minggu, 17 Mei 2020",Kelas 5 - 6 SD,GRII Pondok Indah
4,14.30 WIB,,,https://zoom.us/j/94043882852?pwd=bFpVTU5QcUlyT2IxaEdkeExGWFl4QT09,,"Minggu, 17 Mei 2020",Kelas 1 - 2 SD,GRII Singapura
10,15.00 WIB,REC Singapore Chinese Service (中文),GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,"Minggu, 17 Mei 2020",,
5,15.00 WIB,,,http://griikebonjeruk.org/live,http://grii-semarang.org/live,"Minggu, 17 Mei 2020",Semua Kelas - Knowing God : Allah Pembebas,Vik. Joshua Siwalette
4,15.00 WIB,,,https://zoom.us/j/98292000805?pwd=ais0WmxvYnNGME9sTjNzSE84OWpMdz09,,"Minggu, 17 Mei 2020",Kelas 5 - 6 SD,GRII Singapura
5,16.00 WIB,,,http://www.grii-bsd.org/live/,,"Minggu, 17 Mei 2020",Kelas 4 - 6 SD,GRII BSD & MRII GS
8,16.00 WIB,,,https://zoom.us/j/98965112638?pwd=dUx5VjUyMzJEVy9ESXBSR2l3MXBTUT09,,"Minggu, 17 Mei 2020",Kelas Toddler,GRII Singapura
7,16.00 WIB,,,http://www.grii-bsd.org/live/,,"Minggu, 17 Mei 2020",Kelas Batita - Balita,GRII BSD & MRII GS
6,16.00 WIB,,,https://us04web.zoom.us/j/3544725426,Meeting ID: 354 472 5426,"Minggu, 17 Mei 2020",Kelas Balita - Pra-SD,GRII Pondok Indah
11,16.00 WIB,"Kebaktian Umum (Siaran Tunda Mandarin, Indonesia, dan Inggris)",GRII Pusat,https://pusat.grii.org/live,,"Minggu, 17 Mei 2020",,
5,16.00 WIB,,,http://www.grii-bsd.org/live/,,"Minggu, 17 Mei 2020",Kelas 1 - 3 SD,GRII BSD & MRII GS
12,17.00 WIB,Tanya Jawab Pemuda - GRII Bandung,Pdt. Jimmy Pardede,https://us02web.zoom.us/j/7526589398,Wajib mendaftar : http://bit.ly/namazoompemudabdg,"Minggu, 17 Mei 2020",,
13,19.00 WIB,PA - Providensi Allah & Tantangan Pertumbuhan Rohani,Vik. Jack Kawira,http://bit.ly/MRII-Bern,"Zoom Meeting ID : 740 244 0988. Jika jamnya salah, mohon cek kembali pk 20.00 WIB","Minggu, 17 Mei 2020",,
